"Julian_Date","Year","Girth_cm","Grass_Temp..Deg.C...Smp.","Soil_Temp_4in...Deg.C...Smp.","Air_Temp..Deg.C...Smp.","Grass_Temp_Min..Deg.C...Min.","Grass_Temp_Max..Deg.C...Max.","Rain_mm_Tot...mm...Tot.","species","Air_Temp_Max...Deg.C...Max."
101,"2015",46,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",49,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",113,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",197,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
101,"2015",84,9.28,10.07,8.02,7.514,31.26,2.7,"quercus.robur",20.19
103,"2015",67,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
104,"2015",121,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",125,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",200,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",87,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",111,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",121,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",106,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",139,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",152,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",197,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",168,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
103,"2015",126,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",97,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",137,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",210,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",169,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",148,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",93,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",72,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",158,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",158,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",136,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",250,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",52,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",39,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",153,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",78,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
103,"2015",86,12.99,10.16,8.71,7.021,26.05,0.1,"quercus.robur",16.93
104,"2015",91,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",104,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",125,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",69,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",92,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",138,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",89,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
104,"2015",84,16.96,9.54,12.99,1.038,28.13,0,"quercus.robur",16.65
105,"2015",137,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",419,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",206,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",194,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",68,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",209,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",234,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",132,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",138,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",100,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",95,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",136,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",162,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
105,"2015",155,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
106,"2015",122,17.77,11.46,12.24,3.816,35.63,0,"quercus.robur",23.86
106,"2015",115,17.77,11.46,12.24,3.816,35.63,0,"quercus.robur",23.86
105,"2015",261,22.64,10.58,19.22,1.041,33.17,0,"quercus.robur",21.72
107,"2015",125,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",82,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",253,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",200,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",46,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",101,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",55,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",74,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
107,"2015",76,16.38,10.98,10.88,5.305,32.53,0,"quercus.robur",17.47
108,"2015",35,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",126,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",266,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",73,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",41,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",47,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",169,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",119,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",162,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",177,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",197,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",106,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
108,"2015",99,13.13,9.92,8.91,2.453,27.63,0,"quercus.robur",14.62
109,"2015",89,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",105,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",71,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",50,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",152,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",72,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",101,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",110,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",35,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",65,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",83,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",41,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",47,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
109,"2015",194,9.65,9.93,6.798,3.372,26.88,0,"quercus.robur",14.62
111,"2015",105,16.01,8.89,11.56,-2.274,29.96,0,"quercus.robur",18.35
111,"2015",82,16.01,8.89,11.56,-2.274,29.96,0,"quercus.robur",18.35
110,"2015",118,16.08,8.23,10.68,-2.797,22.64,0,"quercus.robur",10.75
110,"2015",99,16.08,8.23,10.68,-2.797,22.64,0,"quercus.robur",10.75
111,"2015",73,16.01,8.89,11.56,-2.274,29.96,0,"quercus.robur",18.35
111,"2015",105,16.01,8.89,11.56,-2.274,29.96,0,"quercus.robur",18.35
111,"2015",75,16.01,8.89,11.56,-2.274,29.96,0,"quercus.robur",18.35
111,"2015",55,16.01,8.89,11.56,-2.274,29.96,0,"quercus.robur",18.35
112,"2015",44,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
112,"2015",47,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
112,"2015",194,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
112,"2015",89,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
112,"2015",160,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
112,"2015",72,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
112,"2015",91,16.36,9.6,11.76,-1.447,29.6,0,"quercus.robur",18.14
113,"2015",73,13.28,10.61,8.09,0.216,29.49,0,"quercus.robur",15.84
113,"2015",71,13.28,10.61,8.09,0.216,29.49,0,"quercus.robur",15.84
113,"2015",122,13.28,10.61,8.09,0.216,29.49,0,"quercus.robur",15.84
113,"2015",100,13.28,10.61,8.09,0.216,29.49,0,"quercus.robur",15.84
113,"2015",110,13.28,10.61,8.09,0.216,29.49,0,"quercus.robur",15.84
114,"2015",37,15.25,10.52,10.48,-1.427,29.73,0,"quercus.robur",17.8
114,"2015",91,15.25,10.52,10.48,-1.427,29.73,0,"quercus.robur",17.8
114,"2015",56,15.25,10.52,10.48,-1.427,29.73,0,"quercus.robur",17.8
114,"2015",241,15.25,10.52,10.48,-1.427,29.73,0,"quercus.robur",17.8
115,"2015",31,16.09,12.76,12.51,10.51,30.43,3.1,"quercus.robur",16.73
115,"2015",67,16.09,12.76,12.51,10.51,30.43,3.1,"quercus.robur",16.73
115,"2015",57,16.09,12.76,12.51,10.51,30.43,3.1,"quercus.robur",16.73
116,"2015",37,10.34,11.03,6.935,7.632,28.14,3,"quercus.robur",16.99
116,"2015",126,10.34,11.03,6.935,7.632,28.14,3,"quercus.robur",16.99
116,"2015",53,10.34,11.03,6.935,7.632,28.14,3,"quercus.robur",16.99
117,"2015",70,13.64,8.34,8.3,-2.298,17.52,0,"quercus.robur",10.26
117,"2015",61,13.64,8.34,8.3,-2.298,17.52,0,"quercus.robur",10.26
117,"2015",31,13.64,8.34,8.3,-2.298,17.52,0,"quercus.robur",10.26
117,"2015",67,13.64,8.34,8.3,-2.298,17.52,0,"quercus.robur",10.26
118,"2015",126,12.32,8.6,8.09,-0.187,29.23,0,"quercus.robur",12.78
118,"2015",160,12.32,8.6,8.09,-0.187,29.23,0,"quercus.robur",12.78
118,"2015",56,12.32,8.6,8.09,-0.187,29.23,0,"quercus.robur",12.78
118,"2015",52,12.32,8.6,8.09,-0.187,29.23,0,"quercus.robur",12.78
119,"2015",120,12.7,10.22,9.32,4.602,25.58,1.1,"quercus.robur",12.72
120,"2015",88,14.9,8.8,10.37,-0.101,21.81,2.3,"quercus.robur",12.92
120,"2015",53,14.9,8.8,10.37,-0.101,21.81,2.3,"quercus.robur",12.92
121,"2015",70,13.14,9.83,8.43,0.234,28.73,0,"quercus.robur",14.76
124,"2015",160,17.97,12.33,13.06,9.08,28.37,0.1,"quercus.robur",18.52
125,"2015",73,13.77,13.44,12.31,11.57,29.63,10.6,"quercus.robur",16.66
125,"2015",47,13.77,13.44,12.31,11.57,29.63,10.6,"quercus.robur",16.66
133,"2015",24,20.23,12.71,13.74,-0.034,29.77,0,"quercus.robur",16.72
104,"2016",86,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
107,"2016",86,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
111,"2016",86,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
105,"2016",317,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
107,"2016",317,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
109,"2016",317,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
107,"2016",169,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
107,"2016",120,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
110,"2016",120,17.55,9.47,11.2,6.785,20.48,0,"quercus.robur",11.47
110,"2016",68,17.55,9.47,11.2,6.785,20.48,0,"quercus.robur",11.47
113,"2016",68,10.65,9.17,8.32,6.528,24.53,0,"quercus.robur",16.47
118,"2016",68,15.27,6.808,6.619,-0.723,19.52,0,"quercus.robur",9.96
122,"2016",68,18.21,7.612,10.41,-1.58,26.53,0,"quercus.robur",13.29
107,"2016",92,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
110,"2016",92,17.55,9.47,11.2,6.785,20.48,0,"quercus.robur",11.47
118,"2016",92,15.27,6.808,6.619,-0.723,19.52,0,"quercus.robur",9.96
122,"2016",92,18.21,7.612,10.41,-1.58,26.53,0,"quercus.robur",13.29
107,"2016",165,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
104,"2016",238,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
108,"2016",238,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
104,"2016",174,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
105,"2016",175,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",229,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",145,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
109,"2016",85,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
109,"2016",132,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
113,"2016",132,10.65,9.17,8.32,6.528,24.53,0,"quercus.robur",16.47
104,"2016",109,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
109,"2016",109,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
112,"2016",109,14.52,8.71,9.87,1.991,23.24,0,"quercus.robur",14.57
115,"2016",109,8.99,8.01,5.548,1.877,20,0.2,"quercus.robur",10.17
119,"2016",109,15.42,6.779,7.363,-2.438,24.67,0.1,"quercus.robur",10.25
104,"2016",105,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",138,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
107,"2016",132,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
111,"2016",132,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
107,"2016",81,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
107,"2016",144,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
104,"2016",271,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
107,"2016",172,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
109,"2016",172,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
107,"2016",56,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
109,"2016",56,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
107,"2016",212,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
109,"2016",212,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
108,"2016",114,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
108,"2016",142,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
110,"2016",142,17.55,9.47,11.2,6.785,20.48,0,"quercus.robur",11.47
104,"2016",50,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",55,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",68,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
109,"2016",68,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
104,"2016",212,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",123,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",158,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
117,"2016",158,13.1,7.036,6.016,-1.434,20.89,0.4,"quercus.robur",11.88
121,"2016",158,16.79,7.152,9.05,-1.714,21.91,0.8,"quercus.robur",11.3
104,"2016",58,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
107,"2016",58,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
111,"2016",58,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
117,"2016",115,13.1,7.036,6.016,-1.434,20.89,0.4,"quercus.robur",11.88
108,"2016",93,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
111,"2016",93,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
108,"2016",112,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
111,"2016",112,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
108,"2016",100,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
111,"2016",100,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
108,"2016",150,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
111,"2016",150,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
108,"2016",80,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
111,"2016",80,15.59,7.902,9.73,-1.168,26.4,0,"quercus.robur",14.71
115,"2016",39,8.99,8.01,5.548,1.877,20,0.2,"quercus.robur",10.17
104,"2016",76,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
123,"2016",76,14.96,10.71,12.09,9.7,25.77,0,"quercus.robur",15.08
108,"2016",433,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
110,"2016",433,17.55,9.47,11.2,6.785,20.48,0,"quercus.robur",11.47
104,"2016",143,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
109,"2016",143,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
112,"2016",143,14.52,8.71,9.87,1.991,23.24,0,"quercus.robur",14.57
104,"2016",167,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",268,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
104,"2016",114,16.9,7.708,10.95,-0.203,26.05,0,"quercus.robur",16.2
107,"2016",171,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
110,"2016",171,17.55,9.47,11.2,6.785,20.48,0,"quercus.robur",11.47
108,"2016",47,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
109,"2016",47,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",192,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",73,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",115,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",82,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",82,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",136,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",119,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",230,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
107,"2016",66,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
109,"2016",66,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
109,"2016",42,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
117,"2016",42,13.1,7.036,6.016,-1.434,20.89,0.4,"quercus.robur",11.88
107,"2016",120,9.05,8.76,4.431,2.172,17.62,10.5,"quercus.robur",11.15
108,"2016",142,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
108,"2016",81,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
109,"2016",81,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
113,"2016",81,10.65,9.17,8.32,6.528,24.53,0,"quercus.robur",16.47
117,"2016",81,13.1,7.036,6.016,-1.434,20.89,0.4,"quercus.robur",11.88
120,"2016",81,13.91,7.765,8.04,2.706,24.95,1.2,"quercus.robur",11.14
124,"2016",81,17.42,9.12,11.27,0.857,27.37,0.6,"quercus.robur",16.27
108,"2016",77,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
108,"2016",73,16.33,6.524,6.626,-2.036,16.79,0.3,"quercus.robur",8.31
109,"2016",73,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",65,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",65,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",140,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",146,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",186,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",42,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",42,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",271,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",72,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",162,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",38,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",38,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
113,"2016",38,10.65,9.17,8.32,6.528,24.53,0,"quercus.robur",16.47
109,"2016",39,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
109,"2016",64,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
105,"2016",122,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",114,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",29,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
105,"2016",62,15.57,9.02,11.15,2.838,26.18,0,"quercus.robur",16.56
109,"2016",50,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
109,"2016",68,15.8,7.344,9.66,-0.477,21.59,0,"quercus.robur",11.34
115,"2016",68,8.99,8.01,5.548,1.877,20,0.2,"quercus.robur",10.17
